 ,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle
1,55161.000,546.500,897.500,832.534,415.000,764.000,263.000,267.000,267.043,263.003,90.000
2,78.549,20.623,33.868,31.416,15.660,28.830,9.925,10.075,10.077,9.925,90.000
3,0.037,18.811,33.208,0.653,18.717,33.094,0.189,0.226,0.236,0.200,90.000
4,0.048,19.811,33.226,0.772,19.698,33.094,0.226,0.264,0.278,0.222,90.000
5,0.063,20.811,33.208,0.890,20.679,33.057,0.264,0.302,0.299,0.267,90.000
6,0.044,21.755,33.264,0.716,21.660,33.132,0.189,0.264,0.278,0.202,90.000
7,0.037,22.736,33.245,0.653,22.642,33.132,0.189,0.226,0.236,0.200,90.000
8,0.044,22.698,34.245,0.716,22.604,34.113,0.189,0.264,0.278,0.202,90.000
9,0.060,22.679,35.189,0.898,22.566,35.019,0.226,0.340,0.326,0.233,90.000
10,0.048,21.811,35.189,0.772,21.698,35.057,0.226,0.264,0.278,0.222,90.000
11,0.044,20.811,35.189,0.716,20.717,35.057,0.189,0.264,0.278,0.202,90.000
12,0.030,19.717,35.226,0.593,19.623,35.132,0.189,0.189,0.195,0.195,0.000
13,0.044,18.811,35.226,0.716,18.717,35.094,0.189,0.264,0.278,0.202,90.000
14,0.034,18.830,34.358,0.664,18.755,34.226,0.151,0.264,0.269,0.161,90.000
15,0.048,20.755,34.321,0.772,20.642,34.189,0.226,0.264,0.278,0.222,90.000
