 ,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle
1,121004.000,640.000,865.500,1233.076,444.000,669.000,392.000,393.000,392.993,392.036,90.000
2,78.545,16.306,22.051,31.416,11.312,17.045,9.987,10.013,10.013,9.988,90.000
3,0.020,14.892,21.389,0.484,14.828,21.299,0.127,0.178,0.188,0.137,90.000
4,0.023,16.866,21.478,0.563,16.790,21.376,0.153,0.204,0.193,0.154,90.000
5,0.020,16.752,23.452,0.484,16.688,23.363,0.127,0.178,0.188,0.137,90.000
6,0.017,14.815,23.414,0.441,14.752,23.338,0.127,0.153,0.159,0.135,90.000
7,0.023,15.822,22.420,0.563,15.745,22.318,0.153,0.204,0.193,0.154,90.000
