 ,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle
1,76452.000,398.000,834.000,980.217,244.000,676.000,308.000,316.000,316.001,308.042,90.000
2,78.538,12.756,26.731,31.417,7.821,21.667,9.872,10.128,10.128,9.873,90.000
3,0.029,11.667,26.266,0.679,11.603,26.122,0.128,0.288,0.284,0.129,90.000
4,0.025,13.622,26.234,0.564,13.558,26.122,0.128,0.224,0.229,0.137,90.000
5,0.043,13.606,28.237,0.776,13.526,28.077,0.160,0.321,0.331,0.166,90.000
6,0.038,11.619,28.285,0.719,11.538,28.141,0.160,0.288,0.297,0.163,90.000
7,0.033,12.612,27.372,0.663,12.532,27.244,0.160,0.256,0.263,0.159,90.000
