 ,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle
1,394260.000,585.000,875.500,2225.819,231.000,521.000,708.000,709.000,709.007,708.015,90.000
2,78.542,8.257,12.357,31.416,3.260,7.354,9.993,10.007,10.007,9.993,90.000
3,0.025,7.219,10.727,0.556,7.142,10.628,0.155,0.198,0.203,0.158,90.000
4,0.020,9.217,10.748,0.512,9.146,10.656,0.141,0.183,0.184,0.140,90.000
5,0.022,9.146,12.745,0.536,9.076,12.646,0.141,0.198,0.199,0.142,90.000
6,0.020,7.227,12.766,0.512,7.156,12.675,0.141,0.183,0.184,0.140,90.000
7,0.020,8.179,11.743,0.516,8.116,11.644,0.127,0.198,0.195,0.128,90.000
