 ,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle
1,352575.000,615.500,760.500,2104.868,280.000,426.000,671.000,669.000,671.000,669.020,0.000
2,78.542,9.187,11.351,31.416,4.179,6.358,10.015,9.985,10.015,9.985,0.000
3,0.020,7.731,10.261,0.499,7.672,10.164,0.119,0.194,0.202,0.124,90.000
4,0.018,9.716,10.358,0.474,9.657,10.269,0.119,0.179,0.185,0.122,90.000
5,0.020,9.552,12.351,0.499,9.493,12.254,0.119,0.194,0.202,0.124,90.000
6,0.012,7.642,12.284,0.434,7.597,12.194,0.090,0.179,0.175,0.091,90.000
7,0.014,8.649,11.306,0.427,8.597,11.224,0.104,0.164,0.166,0.104,90.000
