 ,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle
1,198314.000,615.500,634.000,1578.651,364.000,383.000,503.000,502.000,502.995,501.995,0.000
2,78.538,12.249,12.617,31.416,7.244,7.622,10.010,9.990,10.010,9.990,0.000
3,0.017,11.463,11.413,0.474,11.403,11.323,0.119,0.179,0.172,0.123,90.000
4,0.019,12.468,11.393,0.518,12.418,11.284,0.100,0.219,0.227,0.104,90.000
5,0.020,13.483,11.433,0.502,13.413,11.343,0.139,0.179,0.179,0.144,90.000
6,0.013,13.473,13.443,0.407,13.413,13.373,0.119,0.139,0.147,0.117,90.000
7,0.010,12.527,13.473,0.345,12.478,13.413,0.100,0.119,0.125,0.105,90.000
8,0.019,11.443,13.473,0.508,11.383,13.373,0.119,0.199,0.194,0.125,90.000
9,0.020,11.473,12.587,0.502,11.403,12.498,0.139,0.179,0.179,0.144,90.000
10,0.017,12.488,12.557,0.469,12.418,12.478,0.139,0.159,0.158,0.141,90.000
