 ,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Length
1,70715.000,594.500,841.500,942.480,445.000,691.000,299.000,301.000,301.094,299.034,90.000,0.000
2,78.572,19.817,28.050,31.416,14.833,23.033,9.967,10.033,10.036,9.968,90.000,0.000
3,0.031,16.839,28.443,0.910,16.400,28.433,0.933,0.033,0.000,0.000,-0.393,0.910
4,0.030,18.081,28.585,0.879,17.633,28.600,0.933,0.033,0.000,0.000,0.000,0.879
5,0.030,19.333,28.466,0.867,18.900,28.467,0.900,0.033,0.000,0.000,0.413,0.867
6,0.033,20.506,30.029,0.967,20.033,30.033,1.000,0.033,0.000,0.000,-0.165,0.967
7,0.032,21.821,28.644,0.929,21.367,28.633,0.967,0.033,0.000,0.000,-0.257,0.929
8,0.032,23.050,28.668,0.942,22.567,28.667,1.000,0.033,0.000,0.000,-0.127,0.942
9,0.052,16.781,29.217,1.536,16.733,28.467,0.133,1.567,0.000,0.000,-93.576,1.536
10,0.047,17.604,29.279,1.377,17.567,28.600,0.100,1.400,0.000,0.000,-93.122,1.377
11,0.051,19.289,29.228,1.513,19.267,28.467,0.100,1.567,0.000,0.000,-92.946,1.513
12,0.049,20.076,29.317,1.420,20.033,28.600,0.133,1.467,0.000,0.000,-93.954,1.420
13,0.048,21.321,29.348,1.406,21.300,28.633,0.100,1.467,0.000,0.000,-93.057,1.406
14,0.047,22.552,29.344,1.374,22.500,28.667,0.133,1.400,0.000,0.000,-93.999,1.374
15,0.022,16.400,28.500,0.529,16.333,28.400,0.133,0.200,0.201,0.140,90.000,0.000
