 ,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle
1,369587.000,617.500,820.500,2155.143,273.000,479.000,689.000,683.000,689.015,682.964,0.000
2,78.536,9.001,11.961,31.416,3.980,6.983,10.044,9.956,10.044,9.956,0.000
3,0.019,7.901,10.517,0.488,7.843,10.423,0.117,0.190,0.197,0.121,90.000
4,0.018,9.913,10.496,0.513,9.854,10.394,0.117,0.204,0.195,0.117,90.000
5,0.029,9.883,12.507,0.596,9.796,12.405,0.175,0.204,0.205,0.179,90.000
6,0.015,7.930,12.573,0.438,7.872,12.493,0.117,0.160,0.166,0.118,90.000
7,0.028,8.899,11.523,0.599,8.819,11.414,0.160,0.219,0.217,0.166,90.000
