 ,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle
1,441811.000,611.500,798.500,2356.204,235.000,425.000,753.000,747.000,753.026,747.028,0.000
2,78.544,8.153,10.647,31.416,3.133,5.667,10.040,9.960,10.040,9.960,0.000
3,0.015,7.447,9.880,0.442,7.387,9.800,0.120,0.160,0.155,0.122,90.000
4,0.026,9.447,9.973,0.566,9.360,9.880,0.173,0.187,0.189,0.175,90.000
5,0.038,9.287,11.987,0.693,9.187,11.867,0.200,0.240,0.243,0.199,90.000
6,0.025,7.360,11.913,0.567,7.280,11.813,0.160,0.200,0.201,0.158,90.000
7,0.020,8.360,10.920,0.506,8.293,10.827,0.133,0.187,0.188,0.135,90.000
