 ,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle
1,269723.000,573.500,820.500,1840.985,282.000,526.000,583.000,589.000,589.036,583.023,90.000
2,78.546,9.787,14.002,31.416,4.812,8.976,9.949,10.051,10.052,9.949,90.000
3,0.020,8.473,13.038,0.510,8.396,12.952,0.154,0.171,0.168,0.154,90.000
4,0.019,10.444,13.225,0.484,10.375,13.140,0.137,0.171,0.176,0.135,90.000
5,0.012,10.188,15.213,0.406,10.137,15.137,0.102,0.154,0.148,0.106,90.000
6,0.019,8.294,15.051,0.484,8.225,14.966,0.137,0.171,0.176,0.135,90.000
7,0.018,9.326,14.121,0.488,9.266,14.027,0.119,0.188,0.189,0.119,90.000
