 ,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle
1,159414.000,610.000,899.500,1415.288,385.000,674.000,450.000,451.000,451.026,450.023,90.000
2,78.548,13.541,19.967,31.416,8.546,14.961,9.989,10.011,10.012,9.989,90.000
3,0.024,11.987,18.890,0.567,11.920,18.779,0.133,0.222,0.216,0.139,90.000
4,0.021,13.973,18.912,0.538,13.918,18.801,0.111,0.222,0.230,0.115,90.000
5,0.024,13.918,20.888,0.567,13.851,20.777,0.133,0.222,0.216,0.139,90.000
6,0.018,11.987,20.910,0.491,11.920,20.821,0.133,0.178,0.168,0.134,90.000
7,0.023,12.952,19.900,0.578,12.897,19.778,0.111,0.244,0.254,0.116,90.000
