 ,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle
1,165114.000,565.500,826.000,1440.421,336.000,597.000,459.000,458.000,459.027,457.990,0.000
2,78.543,12.334,18.015,31.416,7.328,13.021,10.011,9.989,10.011,9.989,0.000
3,0.020,11.265,17.426,0.528,11.210,17.317,0.109,0.218,0.226,0.113,90.000
4,0.016,13.239,17.372,0.446,13.173,17.296,0.131,0.153,0.161,0.128,90.000
5,0.012,13.195,19.378,0.378,13.130,19.324,0.131,0.109,0.137,0.115,0.000
6,0.015,11.178,19.433,0.451,11.123,19.346,0.109,0.174,0.179,0.108,90.000
7,0.017,12.214,18.430,0.482,12.148,18.342,0.131,0.174,0.165,0.132,90.000
