 ,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle
1,230312.000,558.000,805.500,1701.176,288.000,534.000,540.000,543.000,543.003,540.039,90.000
2,78.545,10.305,14.875,31.416,5.319,9.861,9.972,10.028,10.028,9.973,90.000
3,0.020,8.633,13.352,0.497,8.569,13.259,0.129,0.185,0.186,0.135,90.000
4,0.030,10.600,13.306,0.618,10.526,13.186,0.148,0.240,0.249,0.153,90.000
5,0.020,10.628,15.309,0.497,10.563,15.217,0.129,0.185,0.186,0.135,90.000
6,0.021,8.707,15.411,0.529,8.643,15.309,0.129,0.203,0.205,0.129,90.000
7,0.023,9.631,14.331,0.561,9.566,14.220,0.129,0.222,0.225,0.131,90.000
