999999,5.385,5.43,5.475,5.52,5.565,5.61,5.655,5.7,5.745,5.79,5.835,5.88,5.925,5.97
4.28,0.0013,0.0013,0.0014,0.0014,0.0012,0.0013,0.0052,0.006,0.0068,0.0086,0.0109,0.0175,0.0154,0.0165
4.32,0.0012,0.0012,0.001,0.0013,0.0014,0.0014,0.0053,0.0064,0.0147,0.0111,0.0117,0.0205,0.0638,0.0275
4.36,0.0013,0.0014,0.0012,0.0013,0.0013,0.0013,0.0055,0.0096,0.0069,0.0109,0.0188,0.0198,0.0202,0.0231
4.4,0.0012,0.0013,0.0013,0.0013,0.0012,0.0013,0.0065,0.006,0.0067,0.0174,0.0205,0.026,0.0331,0.017
4.44,0.0017,0.0015,0.0015,0.0015,0.0013,0.0011,0.0055,0.006,0.0081,0.0189,0.029,0.0427,0.0347,0.0226
4.48,0.0014,0.0013,0.0014,0.0013,0.0013,0.0011,0.0086,0.0108,0.0115,0.0166,0.0196,0.0259,0.0413,0.0436
4.52,0.0013,0.0012,0.0012,0.0013,0.0012,0.0013,0.0074,0.0118,0.0146,0.0205,0.141,0.1351,0.032,0.0512
4.56,0.0013,0.0011,0.0012,0.0011,0.0011,0.0012,0.0066,0.014,0.0312,0.2413,0.3193,0.3235,0.1957,0.0578
4.6,0.0011,0.0011,0.0012,0.0012,0.0013,0.0014,0.0143,0.0197,0.0326,0.3645,0.6112,0.6189,0.3531,0.0568
4.64,0.0012,0.0012,0.001,0.001,0.0012,0.0012,0.0207,0.0305,0.0601,0.5241,0.6915,0.7861,0.5338,0.06
4.68,0.001,0.001,0.0013,0.0012,0.0012,0.001,0.0422,0.0533,0.0544,0.5429,0.7179,0.7652,0.5435,0.0643
4.72,0.0013,0.0013,0.0011,0.0012,0.0011,0.0012,0.0264,0.0311,0.0408,0.487,0.5775,0.598,0.4505,0.0606
4.76,0.0011,0.0011,0.0012,0.0011,0.001,0.0014,0.0181,0.024,0.0317,0.0529,0.4126,0.3904,0.2299,0.0702
4.8,0.0012,0.001,0.001,0.0014,0.0013,0.0011,0.0167,0.0173,0.0309,0.0309,0.032,0.1383,0.0299,0.0478
4.84,0.0014,0.001,0.0011,0.001,0.001,0.0011,0.0125,0.0112,0.0133,0.032,0.0373,0.0412,0.0415,0.0345
4.88,0.0012,0.0011,0.0011,0.001,0.001,0.0008,0.0128,0.0104,0.0086,0.0159,0.0278,0.0319,0.028,0.023
4.92,0.0011,0.0009,0.0011,0.001,0.0009,0.0011,0.0047,0.0364,0.0086,0.011,0.0189,0.021,0.0168,0.0207
4.96,0.001,0.001,0.0009,0.009,0.0013,0.0009,0.0035,0.0054,0.0915,0.01,0.0133,0.0193,0.0145,0.0177
5,0.0012,0.0012,0.0009,0.001,0.0011,0.0013,0.0036,0.0052,0.0068,0.053,0.0301,0.0263,0.1635,0.0294
5.04,0.001,0.0012,0.0011,0.0009,0.0011,0.0013,0.0018,0.0049,0.0055,0.0078,0.0096,0.0131,0.0156,0.0167
