99999,5.55,5.59,5.63,5.67,5.71,5.75,5.79,5.83,5.87,5.91,5.95,5.99,6.03,6.07,6.11,6.15
4.26,0.0013,0.0014,0.0014,0.0036,0.0042,0.0054,0.0066,0.008,0.0094,0.0108,0.0107,0.012,0.0138,0.008,0.0013,0.0014
4.3,0.0012,0.0012,0.0011,0.0044,0.005,0.0066,0.0095,0.0544,0.0988,0.0166,0.0144,0.0152,0.0127,0.0124,0.0013,0.0014
4.34,0.0012,0.0012,0.0012,0.0045,0.0067,0.0191,0.0088,0.0089,0.0155,0.0151,0.031,0.0424,0.0173,0.0133,0.0011,0.0012
4.38,0.0012,0.0014,0.0013,0.0051,0.0072,0.0072,0.0087,0.0118,0.0177,0.0184,0.0186,0.0244,0.0293,0.0163,0.001,0.001
4.42,0.0011,0.0012,0.0012,0.0301,0.0058,0.0052,0.009,0.0169,0.026,0.0253,0.0231,0.0187,0.0091,0.0275,0.0022,0.0011
4.46,0.0011,0.001,0.001,0.0073,0.0042,0.0086,0.0128,0.0178,0.0193,0.0277,0.0238,0.0159,0.0219,0.0586,0.0041,0.0011
4.5,0.0011,0.0011,0.0011,0.0038,0.0075,0.0146,0.0167,0.0149,0.0155,0.0244,0.0357,0.0377,0.0181,0.0156,0.0404,0.0011
4.54,0.001,0.001,0.001,0.006,0.015,0.0245,0.0242,0.0205,0.0335,0.0336,0.0452,0.0374,0.0212,0.0114,0.0735,0.0011
4.58,0.0011,0.0011,0.0012,0.086,0.0116,0.0218,0.0366,0.3985,0.4408,0.3587,0.0568,0.0668,0.0387,0.0245,0.0252,0.0011
4.62,0.0011,0.0009,0.0012,0.0048,0.0237,0.0403,0.3847,0.6006,0.7345,0.6539,0.3499,0.057,0.0366,0.014,0.0437,0.001
4.66,0.001,0.0011,0.0011,0.0309,0.0297,0.0481,0.3425,0.6643,0.735,0.7444,0.5497,0.07,0.0782,0.0268,0.0589,0.001
4.7,0.001,0.001,0.0013,0.0192,0.0339,0.046,0.4446,0.6565,0.6845,0.619,0.49,0.0475,0.0763,0.032,0.0928,0.0012
4.74,0.0011,0.0011,0.001,0.0126,0.0224,0.0296,0.0631,0.4095,0.4595,0.4098,0.3057,0.0768,0.0433,0.022,0.0252,0.0022
4.78,0.0011,0.0011,0.0012,0.0166,0.0204,0.033,0.0611,0.2666,0.3298,0.272,0.1953,0.0563,0.0351,0.0127,0.1045,0.0011
4.82,0.0012,0.0011,0.0012,0.0129,0.0132,0.0145,0.0326,0.0411,0.2467,0.2325,0.0836,0.0427,0.0208,0.0112,0.6927,0.0011
4.86,0.0011,0.001,0.0011,0.013,0.0101,0.0104,0.0178,0.0372,0.053,0.0528,0.0336,0.022,0.015,0.0092,0.0397,0.0013
4.9,0.0012,0.0011,0.0012,0.0098,0.0086,0.0076,0.011,0.0162,0.0267,0.0241,0.0181,0.0161,0.0083,0.077,0.0169,0.0013
4.94,0.0012,0.0012,0.0013,0.0091,0.0108,0.0106,0.0099,0.0179,0.0176,0.0133,0.0151,0.0105,0.0173,0.0178,0.0167,0.0012
4.98,0.0011,0.0011,0.0012,0.0036,0.0041,0.0078,0.0136,0.0123,0.0151,0.0121,0.0139,0.0278,0.0221,0.0133,0.0129,0.0013
5.02,0.0012,0.0012,0.0012,0.005,0.0041,0.0056,0.0111,0.0132,0.2653,0.2045,0.025,0.0169,0.015,0.0127,0.0097,0.0012
5.06,0.0014,0.0012,0.0011,0.0028,0.0043,0.0057,0.0064,0.0076,0.0115,0.0117,0.0109,0.0126,0.0112,0.011,0.0107,0.0014
