Total Pulses,Charge (nC),charge/pulse (pC/pulse)
700,2.413,4.826
1200,2.424,4.848
1700,2.403,4.806
2200,2.345,4.69
2700,2.391,4.782
3200,2.402,4.804
3700,2.425,4.85
4200,2.432,4.864
4700,2.352,4.704
5200,2.419,4.838
5700,2.472,4.944
6200,2.322,4.644
6700,2.31,4.62
7200,2.305,4.61
7700,2.167,4.334
8200,2.197,4.394
8700,2.116,4.232
9200,2.101,4.202
9700,2.045,4.09
10200,1.962,3.924
10700,1.887,3.774
11200,1.927,3.854
11700,1.93,3.86
12200,1.866,3.732
12700,1.745,3.49
13200,1.905,3.81
