9999999,5.445,5.48,5.515,5.55,5.585,5.62,5.655,5.69,5.725,5.76,5.795,5.83,5.865
4.565,0.103,0.117,0.162,0.17,0.006,0.011,0.007,0.009,0.01,0.019,0.137,0.228,0.209
4.6,0.095,0.112,0.244,0.29,0.01,0.014,0.039,0.017,0.044,0.01,0.01,0.312,0.273
4.635,0.143,0.158,0.374,0.372,0.017,0.036,0.021,0.026,0.023,0.019,0.016,0.431,0.37
4.67,0.13,0.175,0.284,0.433,0.02,0.025,0.044,0.069,0.035,0.026,0.016,0.571,0.455
4.705,0.188,0.216,0.352,0.481,0.033,0.04,0.031,0.068,0.046,0.024,0.025,0.524,0.421
4.74,0.016,0.187,0.282,0.519,0.216,0.03,0.035,0.042,0.035,0.01,0.012,0.383,0.372
