small square coords (mirror mm),"(5.50,4.815)",0.153,0.161,0.164,0.164,0.155,0.19,0.185,0.194,0.183,0.176,2000
,"(5.525, 4.815)",0.217,0.19,0.192,0.189,0.186,0.197,0.197,0.24,0.23,0.23,2000
,"(5.525,4.84)",0.172,0.157,0.168,0.173,0.161,0.152,0.151,0.182,0.174,0.159,2000
,"(5.50,4.84)",0.141,0.133,0.146,0.144,0.161,0.157,0.154,0.163,0.152,0.157,2000
